,fighter_r,fighter_b,winner,total_wins_r,total_losses_r,total_draws_r,total_nc_r,height_r,weight_r,reach_r,stance_r,dob_r,slpm_r,str_acc_r,sapm_r,str_def_r,td_avg_r,td_acc_r,td_def_r,sub_avg_r,total_wins_b,total_losses_b,total_draws_b,total_nc_b,height_b,weight_b,reach_b,stance_b,dob_b,slpm_b,str_acc_b,sapm_b,str_def_b,td_avg_b,td_acc_b,td_def_b,sub_avg_b
0,Derek Brunson,Kevin Holland,Derek Brunson,21,7,0,0,"6'1""",185,"77""",Southpaw,1/04/1984,3.77,47%,2.95,54%,3.02,31%,100%,0.4,21,5,0,0,"6'3""",185,"81""",Orthodox,11/05/1992,4.74,57%,2.77,56%,1.19,42%,52%,0.8
1,Song Kenan,Max Griffin,Max Griffin,16,5,0,0,"6'0""",170,"71""",Orthodox,3/10/1990,4.3,45%,4.2,56%,0.0,0%,45%,0.0,16,8,0,0,"5'11""",170,"76""",Orthodox,11/29/1985,4.08,48%,3.91,56%,1.73,53%,66%,0.5
2,Adrian Yanez,Gustavo Lopez,Adrian Yanez,12,3,0,0,"5'7""",135,"70""",Orthodox,11/29/1993,7.02,54%,2.63,57%,0.0,0%,100%,0.0,12,5,0,0,"5'5""",135,"67""",Orthodox,6/27/1989,2.26,40%,5.08,46%,1.69,66%,27%,0.8
3,Marion Reneau,Macy Chiasson,Macy Chiasson,9,6,1,0,"5'6""",135,"68""",Orthodox,6/20/1977,3.42,41%,3.37,60%,0.52,71%,51%,0.9,7,1,0,0,"5'11""",135,"72""",Orthodox,7/27/1991,4.4,53%,2.22,44%,0.97,16%,70%,0.7
4,Leonardo Santos,Grant Dawson,Grant Dawson,18,4,1,0,"6'0""",155,"75""",Orthodox,2/05/1980,2.76,44%,2.71,60%,1.09,27%,88%,0.4,16,1,0,0,"5'10""",145,"72""",Switch,2/20/1994,3.5,47%,2.13,50%,4.17,45%,33%,2.1
5,Trevin Giles,Roman Dolidze,Trevin Giles,13,2,0,0,"6'0""",185,"74""",Orthodox,8/06/1992,3.57,57%,1.83,64%,1.45,87%,80%,0.2,8,0,0,0,"6'2""",205,"76""",Orthodox,7/15/1988,3.64,53%,1.71,67%,2.34,60%,0%,2.3
6,Leon Edwards,Belal Muhammad,,18,3,0,1,"6'2""",170,"74""",Southpaw,8/25/1991,2.56,47%,2.03,55%,1.35,30%,70%,0.4,18,3,0,1,"5'11""",170,"72""",Orthodox,7/09/1988,4.75,43%,4.02,60%,1.97,28%,85%,0.2
7,Misha Cirkunov,Ryan Spann,Ryan Spann,15,6,0,0,"6'3""",205,"77""",Orthodox,2/27/1987,4.18,51%,3.22,60%,4.28,57%,71%,2.3,19,6,0,0,"6'5""",205,"79""",Orthodox,8/24/1991,3.55,45%,3.45,47%,1.72,41%,60%,1.7
8,Dan Ige,Gavin Tucker,Dan Ige,15,3,0,0,"5'7""",145,"71""",Orthodox,8/06/1991,3.95,46%,3.36,58%,1.68,27%,59%,0.5,13,2,0,0,"5'6""",145,"66""",Southpaw,6/17/1986,4.39,45%,4.28,57%,2.98,42%,53%,1.5
9,Jonathan Martinez,Davey Grant,Davey Grant,13,4,0,0,"5'8""",135,"70""",Southpaw,4/20/1994,4.27,46%,3.81,58%,0.48,37%,63%,0.0,13,4,0,0,"5'8""",135,"69""",Orthodox,12/18/1985,3.93,47%,2.47,63%,2.3,45%,66%,0.2
10,Manel Kape,Matheus Nicolau,Matheus Nicolau,15,6,0,0,"5'5""",125,"68""",Southpaw,11/14/1993,3.67,45%,4.3,48%,1.0,28%,80%,0.0,16,3,1,0,"5'6""",125,"66""",Orthodox,1/06/1993,3.79,52%,2.83,67%,1.93,44%,100%,1.4
11,Eryk Anders,Darren Stewart,,13,5,0,1,"6'1""",185,"75""",Southpaw,4/21/1987,3.23,46%,4.15,51%,1.62,35%,80%,0.1,12,6,0,2,"6'0""",185,"74""",Orthodox,12/30/1990,3.09,44%,3.09,50%,1.5,40%,65%,0.1
12,Angela Hill,Ashley Yoder,Angela Hill,13,9,0,0,"5'3""",115,"64""",Orthodox,1/12/1985,5.66,50%,4.98,64%,0.45,36%,76%,0.1,8,7,0,0,"5'7""",115,"69""",Southpaw,10/20/1987,2.75,39%,3.53,46%,1.33,37%,68%,0.7
13,Charles Jourdain,Marcelo Rojo,Charles Jourdain,11,3,1,0,"5'9""",145,"69""",Switch,11/27/1995,4.79,45%,4.11,61%,0.0,0%,47%,0.7,16,8,0,0,"5'8""",145,"71""",Orthodox,7/02/1988,5.1,36%,7.3,51%,1.03,50%,100%,0.0
14,Rani Yahya,Ray Rodriguez,Rani Yahya,27,10,1,1,"5'6""",135,"67""",Orthodox,9/12/1984,1.57,37%,1.7,50%,2.89,33%,24%,2.0,16,8,0,0,"5'7""",135,"70""",Orthodox,12/10/1987,0.9,27%,3.89,40%,1.42,50%,44%,0.0
15,Nasrat Haqparast,Rafa Garcia,Nasrat Haqparast,13,3,0,0,"5'10""",155,"72""",Southpaw,8/22/1995,5.81,47%,3.23,74%,0.18,16%,84%,0.0,12,1,0,0,"5'7""",155,"70""",Orthodox,8/05/1994,3.47,23%,6.6,54%,0.0,0%,100%,0.0
16,Cortney Casey,JJ Aldrich,JJ Aldrich,9,9,0,0,"5'7""",125,"67""",Orthodox,5/05/1987,4.33,38%,4.19,52%,0.28,27%,38%,0.6,9,4,0,0,"5'5""",125,"67""",Southpaw,9/29/1992,3.76,41%,4.55,61%,0.8,40%,57%,0.0
