,Unnamed: 0,id,fighter_name,total_wins,total_losses,total_draws,total_nc,height,weight,reach,stance,dob,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,td_acc.1,sub_avg
0,1,003d82fa384ca1d0,Aalon Cruz,8,4,0,0,"6'0""",145,"78""",Switch,9/20/1989,7.58,39%,8.88,58%,0.0,0%,0%,0%,0.0
2,3,34c2b3656f88f7ef,Aaron Phillips,12,4,0,0,"5'9""",135,"71""",Southpaw,8/05/1989,1.65,56%,3.44,39%,0.0,0%,44%,0%,0.4
3,4,f2c8ebbeafd45f2b,Aaron Riley,30,14,1,0,"5'8""",155,"69""",Southpaw,12/09/1980,3.45,34%,3.78,61%,1.18,34%,60%,34%,0.1
4,5,11f8860028b68fcf,Aaron Rosa,18,6,0,0,"6'4""",205,"77""",Orthodox,5/28/1983,4.03,47%,4.41,45%,0.36,33%,85%,33%,0.4
5,6,d5f820c11a121050,Aaron Simpson,12,5,0,0,"6'0""",170,"73""",Orthodox,7/20/1974,3.6,52%,2.53,56%,3.78,34%,83%,34%,0.5
6,7,eae431e70064e046,Abdul Razak Alhassan,10,3,0,0,"5'10""",170,"73""",Orthodox,8/11/1985,4.54,48%,5.11,53%,0.72,28%,42%,28%,0.0
8,9,e14b5aa06eea9653,Abel Trujillo,15,8,0,1,"5'8""",155,"70""",Orthodox,9/18/1983,2.65,41%,2.31,59%,2.18,45%,40%,45%,0.4
9,10,46d0a888d87d91ac,Abu Azaitar,14,2,1,1,"5'9""",185,"76""",Orthodox,3/10/1986,3.2,37%,1.27,57%,1.0,100%,25%,100%,0.0
10,11,029e1293e609fd74,Abubakar Nurmagomedov,15,3,1,0,"5'11""",170,"72""",Orthodox,11/13/1989,1.41,44%,0.71,81%,5.29,100%,0%,100%,0.0
11,12,72ffecf712673af1,Adam Milstead,8,4,0,0,"6'3""",205,"76""",Orthodox,7/03/1987,3.85,46%,4.79,43%,0.0,0%,64%,0%,0.0
12,13,efa1f6b42c86793c,Adam Wieczorek,10,2,0,0,"6'5""",250,"81""",Orthodox,2/05/1992,1.68,38%,1.87,48%,0.41,33%,58%,33%,0.4
13,14,0a95c474e61a6c44,Adam Yandiev,9,1,0,0,"5'9""",185,"74""",Orthodox,8/07/1988,0.18,8%,6.14,36%,0.0,0%,25%,0%,0.0
14,15,1e327b281ef6a745,Adlan Amagov,14,2,1,0,"6'2""",170,"76""",Orthodox,10/30/1986,3.29,47%,0.82,78%,5.84,56%,100%,56%,0.0
15,16,0232cabbc30a2372,Adrian Yanez,12,3,0,0,"5'7""",135,"70""",Orthodox,11/29/1993,7.02,54%,2.63,57%,0.0,0%,100%,0%,0.0
16,17,7dcf06c1967801c1,Adriano Martins,28,9,0,0,"5'10""",155,"72""",Southpaw,12/16/1982,1.8,38%,2.14,65%,0.83,80%,81%,80%,0.4
17,18,24656ef4d605c96f,Aiemann Zahabi,8,2,0,0,"5'8""",135,"68""",Orthodox,11/19/1987,2.82,40%,3.91,65%,0.33,16%,72%,16%,0.0
18,19,e50cd77732d39967,Aisling Daly,16,6,0,0,"5'2""",115,"64""",Orthodox,12/24/1987,2.92,52%,1.4,55%,2.15,41%,33%,41%,0.9
19,20,c136b2a8852da5bd,Akbarh Arreola,23,11,1,0,"5'10""",155,"71""",Southpaw,1/14/1983,2.32,45%,4.01,56%,1.07,100%,33%,100%,0.4
20,21,b2acebbef8da14ea,Akihiro Gono,35,21,8,0,"5'7""",170,"68""",Switch,10/07/1974,2.18,48%,2.67,63%,1.01,84%,46%,84%,0.5
21,22,3f52ce18fb98008f,Akira Corassani,12,6,0,1,"5'8""",145,"68""",Orthodox,8/27/1982,3.25,45%,4.91,50%,0.7,28%,86%,28%,0.0
22,23,59279a7c978f7da0,Al Iaquinta,14,6,1,0,"5'10""",155,"70""",Orthodox,4/30/1987,4.06,40%,4.44,61%,0.64,18%,74%,18%,0.2
23,24,c9a94278df042f46,Alan Baudot,8,2,0,0,"6'3""",243,"79""",Orthodox,2/01/1988,1.89,25%,10.11,36%,0.0,0%,0%,0%,0.0
24,25,4130a743d9d22163,Alan Belcher,18,8,0,0,"6'2""",185,"75""",Orthodox,4/24/1984,2.7,41%,3.1,59%,0.44,26%,55%,26%,0.9
25,26,cf65d56b0755ed3b,Alan Jouban,17,7,0,0,"6'0""",170,"73""",Southpaw,11/25/1981,5.67,50%,3.77,60%,0.51,44%,58%,44%,0.3
27,28,cd7763bcadb5d4c8,Alan Patrick,15,3,0,0,"5'11""",155,"74""",Southpaw,7/19/1983,1.79,40%,2.64,43%,3.48,38%,50%,38%,0.3
29,30,544d7460b3e44393,Albert Morales,7,4,1,0,"5'9""",135,"72""",Orthodox,5/25/1991,3.81,35%,3.96,56%,0.91,35%,70%,35%,0.2
30,31,ff6a1f63c254127e,Albert Tumenov,18,4,0,0,"5'11""",170,"73""",Orthodox,12/26/1991,3.76,42%,3.34,58%,0.2,20%,75%,20%,0.0
32,33,4b1d46a1b5c0fd11,Alberto Mina,13,1,0,0,"6'0""",170,"77""",Orthodox,5/02/1982,3.23,38%,3.7,47%,1.85,20%,50%,20%,0.0
34,35,80daefbed11ce998,Alejandro Perez,22,8,1,0,"5'6""",145,"67""",Orthodox,9/02/1989,3.52,35%,2.94,64%,0.52,20%,73%,20%,0.1
35,36,c2a670b22d2e196f,Aleksa Camur,6,1,0,0,"6'1""",205,"74""",Orthodox,9/25/1995,3.94,54%,2.49,57%,0.84,33%,20%,33%,0.0
36,37,333b9e5c723ac873,Aleksandar Rakic,14,2,0,0,"6'4""",205,"78""",Orthodox,2/06/1992,4.23,52%,2.23,52%,0.75,25%,90%,25%,0.2
37,38,e76d9f656ceb82ab,Aleksandra Albu,3,2,0,0,"5'2""",115,"63""",Orthodox,7/14/1990,4.83,47%,5.56,38%,2.27,50%,77%,50%,0.4
38,39,e2ccd9a9ace60de7,Aleksei Kunchenko,20,2,0,0,"5'8""",170,"70""",Orthodox,5/02/1984,3.67,44%,2.83,63%,0.25,33%,80%,33%,0.0
39,40,98c23cb6da5b3352,Aleksei Oleinik,59,15,1,0,"6'2""",240,"80""",Orthodox,6/20/1977,3.47,50%,3.85,44%,2.38,46%,33%,46%,2.4
40,41,70fa1c64a2c439ef,Alen Amedovski,8,2,0,0,"5'10""",185,"74""",Orthodox,4/06/1988,0.52,28%,3.14,37%,0.0,0%,0%,0%,0.0
41,42,77d7295d1b22c694,Alessio Di Chirico,13,5,0,0,"6'0""",185,"74""",Orthodox,12/12/1989,3.3,41%,3.24,62%,1.62,45%,83%,45%,0.0
42,43,7f955f71fa2ce7ac,Alessio Sakara,19,11,0,2,"6'0""",185,"72""",Orthodox,9/02/1981,3.96,47%,2.8,59%,2.18,78%,62%,78%,0.0
