,Unnamed: 0,fighter_name,id
1000,1001,Aalon Cruz,003d82fa384ca1d0
11533,11534,Aaron Brink,cf1a88371c8cb690
6316,6317,Aaron Phillips,34c2b3656f88f7ef
9694,9695,Aaron Riley,f2c8ebbeafd45f2b
8516,8517,Aaron Rosa,11f8860028b68fcf
9844,9845,Aaron Simpson,d5f820c11a121050
9043,9044,Aaron Wilkinson,338a11d3674eb2d4
3193,3194,Abdul Razak Alhassan,eae431e70064e046
3469,3470,Abdul-Kerim Edilov,37e03538c960bac6
6875,6876,Abel Trujillo,e14b5aa06eea9653
5073,5074,Abner Lloveras,6448e57a9533b7e4
2587,2588,Abu Azaitar,46d0a888d87d91ac
1242,1243,Abubakar Nurmagomedov,029e1293e609fd74
7557,7558,Adam Cella,b27b8881d7444114
2941,2942,Adam Milstead,72ffecf712673af1
3269,3270,Adam Wieczorek,efa1f6b42c86793c
2474,2475,Adam Yandiev,0a95c474e61a6c44
7157,7158,Adlan Amagov,1e327b281ef6a745
11571,11572,Adrian Serrano,e7ec11096eac0282
366,367,Adrian Yanez,0232cabbc30a2372
7084,7085,Adriano Martins,7dcf06c1967801c1
11699,11700,Adriano Santos,c6e6926a81adcd00
3920,3921,Aiemann Zahabi,24656ef4d605c96f
6016,6017,Aisling Daly,e50cd77732d39967
5157,5158,Akbarh Arreola,c136b2a8852da5bd
10402,10403,Akihiro Gono,b2acebbef8da14ea
7032,7033,Akira Corassani,3f52ce18fb98008f
6111,6112,Al Iaquinta,59279a7c978f7da0
431,432,Alan Baudot,c9a94278df042f46
9526,9527,Alan Belcher,4130a743d9d22163
3476,3477,Alan Jouban,cf65d56b0755ed3b
5506,5507,Alan Omer,f2ad06f1007c481a
7182,7183,Alan Patrick,cd7763bcadb5d4c8
6816,6817,Albert Cheng,d8d7b24d276c8cb0
4165,4166,Albert Morales,544d7460b3e44393
4275,4276,Albert Tumenov,ff6a1f63c254127e
12035,12036,Alberta Cerra Leon,6e02c318762f52f1
10481,10482,Alberto Crane,25433871e4eee0f4
6332,6333,Alberto Mina,4b1d46a1b5c0fd11
4440,4441,Alberto Uda,8f2deefe8c5dfb5d
4793,4794,Alejandro Perez,80daefbed11ce998
487,488,Aleksa Camur,c2a670b22d2e196f
1739,1740,Aleksandar Rakic,333b9e5c723ac873
2080,2081,Aleksandra Albu,e76d9f656ceb82ab
1531,1532,Aleksei Kunchenko,e2ccd9a9ace60de7
619,620,Aleksei Oleinik,98c23cb6da5b3352
1384,1385,Alen Amedovski,70fa1c64a2c439ef
568,569,Alessio Di Chirico,77d7295d1b22c694
9704,9705,Alessio Sakara,7f955f71fa2ce7ac
11563,11564,Alex Andrade,1562b12763cc8d67
3976,3977,Alex Caceres,7aa3d6964eff4877
5271,5272,Alex Chambers,26b63bc5c0c1f65d
1541,1542,Alex Da Silva,c3ded6f7155f9ea4
6313,6314,Alex Garcia,a2b12c3f3d60ff69
2254,2255,Alex Gorgees,803bebcfb6d6f506
11762,11763,Alex Hunter,baa5358456803df8
11146,11147,Alex Karalexis,e361e5c858af6ff1
2291,2292,Alex Morono,cdb96af67d096b1e
3721,3722,Alex Nicholson,2b6d855c6e280fb1
5486,5487,Alex Oliveira,57b10fca4f9c9a7a
2550,2551,Alex Perez,ab2b4ff41d6ebe0f
3409,3410,Alex Reyes,dc07493a87dc0a6e
4417,4418,Alex Ricci,bf9bc96336922271
11145,11146,Alex Schoenauer,fdfef29ba17ee525
8190,8191,Alex Soto,d18dbcb0f8e2b55d
11537,11538,Alex Stiebling,df5a77121ba84a5d
5815,5816,Alex Torres,e4e0f310b3cf23a8
3091,3092,Alex White,c17041f1bb5768d8
101,102,Alexa Grasso,e8b731feff72294b
8417,8418,Alexander Gustafsson,3c6976f8182d9527
2562,2563,Alexander Hernandez,262a7d06203657e6
633,634,Alexander Munoz,f8f1ec513bcfef43
3674,3675,Alexander Volkanovski,e1248941344b3288
2899,2900,Alexander Volkov,279566840aa55bf2
4945,4946,Alexander Yakovlev,d06f8869449ba7bd
536,537,Alexandr Romanov,c0badf3243907e59
9939,9940,Alexandre Barros,8fd1f27e86661ede
11549,11550,Alexandre Dantas,8dc46e9a7895ce1a
9087,9088,Alexandre Ferreira,28ba5f27e473420c
124,125,Alexandre Pantoja,a0f0004aadf10b71
3158,3159,Alexis Davis,4c2d90e335e6df19
5948,5949,Alexis Dufresne,4ae4049426e0161d
11627,11628,Alfonso Alcarez,1e38bba6738b7b10
440,441,Ali AlQaisi,e87a13e02c01331d
5225,5226,Ali Bagautinov,3dd92ff9fb0412b3
5007,5008,Alistair Overeem,b4ad3a06ee4d660c
5088,5089,Aljamain Sterling,cb696ebfb6598724
11715,11716,Allan Goes,e62b36885ecdac27
2673,2674,Allan Zuniga,523af801b3429015
10527,10528,Allen Berube,aebfb84d1f6d2d8c
2133,2134,Allen Crowder,a9d6e047ce48ab63
844,845,Alonzo Menifield,a495f599e787614f
6415,6416,Alptekin Ozkilic,e18a19001a3f7c7d
3494,3495,Alvaro Herrera Mendoza,74d35fbc9c6a61bd
10495,10496,Alvin Robinson,cbe79765d44bd172
4563,4564,Amanda Cooper,d4a31850a7457f1b
1147,1148,Amanda Lemos,3df5493bb279226f
7318,7319,Amanda Nunes,80fa8218c99f9c58
151,152,Amanda Ribas,beecb672a279223e
11423,11424,Amar Suloev,7aa88401f93ce836
11562,11563,Amaury Bitetti,7a359ef685a304a7
8985,8986,Amilcar Alves,dc5a6b2fdb27e7dc
162,163,Amir Albazi,6d35bf94f7d30241
8676,8677,Amir Sadollah,2650e2f846a30f64
1693,1694,Anderson Dos Santos,bbc9ab95fa766493
10274,10275,Anderson Silva,1f454354805b6f75
2175,2176,Andre Ewell,5f6f049d54728e88
4293,4294,Andre Fili,8fd808923cffff82
10119,10120,Andre Gusmao,cc300e9aa3063431
1207,1208,Andre Muniz,886264a0c9f4ea5e
11631,11632,Andre Pederneiras,bba678d312590087
11716,11717,Andre Roberts,a54a35a670d8e852
2923,2924,Andre Soukhamthath,d0e50a3d1b250708
9192,9193,Andre Winner,b45d6b73f4ca4467
2075,2076,Andrea Lee,05fa626cb33d15b8
727,728,Andreas Michailidis,79325a3c1a5c3bf4
6380,6381,Andreas Stahl,69a400af4420cd6a
10284,10285,Andrei Arlovski,3738e68d2261e60f
11424,11425,Andrei Semenov,5f2f0da6fd6a84fd
7717,7718,Andrew Craig,8a70ceb3edbe757b
4139,4140,Andrew Holbrook,66ab58d0b3783607
1821,1822,Andrew Sanchez,fccf811c1e8b01c7
11979,11980,Andy Anderson,9199e0735b83dd32
5879,5880,Andy Enz,993d385f5a475375
6851,6852,Andy Ogle,b6c4451cb13c9303
10523,10524,Andy Wang,476414d2f18cd059
1025,1026,Angela Hill,f0feeb2192937424
3191,3192,Angela Magana,bd878a638e0e3be3
8064,8065,Anistavio Medeiros,2937cb502dda0808
4713,4714,Anna Elmose,1536a25e16fc299b
11019,11020,Ansar Chalangov,7342fcc41a4817fa
4594,4595,Anthony Birchak,c5a126ace82a6025
5332,5333,Anthony Christodoulou,4f11e9ce318ffbcb
4480,4481,Anthony Hamilton,c727c7d31c50c4cf
2117,2118,Anthony Hernandez,093e1f5bb73850be
822,823,Anthony Ivy,3c5005b66696d790
10272,10273,Anthony Johnson,365fee2da473b177
6648,6649,Anthony Lapsley,f3a853544e4413c4
11960,11961,Anthony Macias,dedc3bb440d09554
6618,6619,Anthony Njokuani,6bf5a7d3e081ade2
10861,10862,Anthony Perosh,4b4753d19489297f
922,923,Anthony Pettis,cbb682f5fcc44bfc
6315,6316,Anthony Rocco Martin,5331b25a60417ffb
4577,4578,Anthony Smith,d4c9dcd330403612
10846,10847,Anthony Torres,918d9d89d4d52acc
7627,7628,Anton Kuivanen,706f8e2b34e8e18b
5169,5170,Anton Zafir,8c822811eedc11ad
10623,10624,Antoni Hardonk,69b69c0178c4004d
1558,1559,Antonina Shevchenko,d7338bcb141abd2c
