,event_id,event_name
1,8c90c1563972e44d,UFC Fight Night: Edwards vs. Muhammad
2,6e2b1d631832921d,UFC 259: Blachowicz vs. Adesanya
3,81b57acd6975ac06,UFC Fight Night: Rozenstruik vs. Gane
4,bfe95ec546692b13,UFC Fight Night: Blaydes vs. Lewis
5,3f7c14c7eca7195d,UFC 258: Usman vs. Burns
6,a1153013cb5f628f,UFC Fight Night: Overeem vs. Volkov
7,4304992c2acc187b,UFC 257: Poirier vs. McGregor
8,56116537d71a578c,UFC Fight Night: Chiesa vs. Magny
9,307064d3e0f036c2,UFC Fight Night: Holloway vs. Kattar
10,e49c2db95e572dc8,UFC Fight Night: Thompson vs. Neal
11,d0d43cb9b14f231c,UFC 256: Figueiredo vs. Moreno
12,398b440e73d55b8b,UFC Fight Night: Hermansson vs. Vettori
13,992c82450d96f726,UFC Fight Night: Smith vs. Clark
14,bbb15f301e4a490a,UFC 255: Figueiredo vs. Perez
15,3bc27ec15facbcf3,UFC Fight Night: Felder vs. Dos Anjos
16,41dca66f9dadfc86,UFC Fight Night: Santos vs. Teixeira
17,ad044be25c94dcfd,UFC Fight Night: Hall vs. Silva
18,c3c38c86f5ab9b5c,UFC 254: Khabib vs. Gaethje
19,d4f364dd076bb0e2,UFC Fight Night: Ortega vs. The Korean Zombie
20,fd4578cac86d75ca,UFC Fight Night: Moraes vs. Sandhagen
21,805ad1801eb26abb,UFC Fight Night: Holm vs. Aldana
22,e69c5ce12f4e762b,UFC 253: Adesanya vs. Costa
23,831b937811804dad,UFC Fight Night: Covington vs. Woodley
24,9c37681096c6f3a9,UFC Fight Night: Waterson vs. Hill
25,542db012217ecb83,UFC Fight Night: Overeem vs. Sakai
26,e29cf523ebd155c5,UFC Fight Night: Smith vs. Rakic
27,af1e5c64b8663aa0,UFC Fight Night: Munhoz vs. Edgar
28,bda04c573563cc2e,UFC 252: Miocic vs. Cormier 3
29,7a82635ffa9b59fe,UFC Fight Night: Lewis vs. Oleinik
30,3746e21bb508391a,UFC Fight Night: Brunson vs. Shahbazyan
31,dde70a112e053a6c,UFC Fight Night: Whittaker vs. Till
32,ddbd0d6259ce57cc,UFC Fight Night: Figueiredo vs. Benavidez 2
33,18f5669a92e99d92,UFC Fight Night: Kattar vs. Ige
34,dbd198f780286aca,UFC 251: Usman vs. Masvidal
35,c32eab6c2119e989,UFC Fight Night: Poirier vs. Hooker
36,2eab7a6c8b0ed8cc,UFC Fight Night: Blaydes vs. Volkov
37,1e13936d708bcff7,UFC Fight Night: Eye vs. Calvillo
38,4c12aa7ca246e7a4,UFC 250: Nunes vs. Spencer
39,14b9e0f2679a2205,UFC Fight Night: Woodley vs. Burns
