,fight_id,fighter_r,fighter_b,winner,title_fight,weight_class,win_by,last_round,stoppage_time,fight_format,referee,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
1,2c13b938e0f8190b,Leon Edwards,Belal Muhammad,N/A,False,Welterweight, Could Not Continue ,2,0:18,5 Rnd (5-5-5-5-5),Herb Dean,0,19 of 39,48%,20 of 40,0 of 1,0%,0,0,0:19,10 of 29,5 of 6,4 of 4,19 of 38,0 of 1,0 of 0,0,8 of 26,30%,14 of 32,0 of 0,---,0,0,0:33,7 of 23,1 of 3,0 of 0,6 of 23,2 of 3,0 of 0
2,4944437e73071671,Misha Cirkunov,Ryan Spann,Ryan Spann,False,Light Heavyweight, KO/TKO ,1,1:11,3 Rnd (5-5-5),Mark Smith,0,5 of 18,27%,5 of 18,0 of 0,---,0,0,0:00,5 of 18,0 of 0,0 of 0,5 of 18,0 of 0,0 of 0,1,16 of 29,55%,16 of 29,0 of 0,---,0,0,0:13,14 of 27,2 of 2,0 of 0,4 of 13,0 of 0,12 of 16
3,d15a87087b6f1452,Dan Ige,Gavin Tucker,Dan Ige,False,Featherweight, KO/TKO ,1,0:22,3 Rnd (5-5-5),Mike Beltran,1,1 of 4,25%,1 of 4,0 of 0,---,0,0,0:01,1 of 4,0 of 0,0 of 0,1 of 4,0 of 0,0 of 0,0,1 of 1,100%,1 of 1,0 of 0,---,0,0,0:00,0 of 0,0 of 0,1 of 1,1 of 1,0 of 0,0 of 0
4,70aa6b8f863e6861,Jonathan Martinez,Davey Grant,Davey Grant,False,Bantamweight, KO/TKO ,2,3:03,3 Rnd (5-5-5),Chris Tognoni,1,29 of 71,40%,29 of 71,0 of 0,---,0,0,0:25,16 of 57,5 of 6,8 of 8,26 of 66,0 of 0,3 of 5,1,48 of 110,43%,49 of 111,0 of 1,0%,0,0,0:03,14 of 64,19 of 30,15 of 16,46 of 108,0 of 0,2 of 2
5,01f262b68a6a2223,Manel Kape,Matheus Nicolau,Matheus Nicolau,False,Flyweight, Decision - Split ,3,5:00,3 Rnd (5-5-5),,0,61 of 150,40%,73 of 165,0 of 0,---,0,0,0:38,37 of 120,10 of 16,14 of 14,58 of 145,1 of 2,2 of 3,0,55 of 102,53%,76 of 132,2 of 9,22%,1,0,2:31,27 of 66,21 of 26,7 of 10,50 of 96,2 of 2,3 of 4
6,dc48627a5f2daba9,Eryk Anders,Darren Stewart,N/A,False,Middleweight, Could Not Continue ,1,4:37,3 Rnd (5-5-5),Herb Dean,1,43 of 63,68%,58 of 79,3 of 7,42%,0,0,2:35,38 of 57,3 of 3,2 of 3,17 of 32,11 of 14,15 of 17,0,15 of 42,35%,21 of 51,0 of 0,---,0,0,0:00,7 of 32,2 of 2,6 of 8,11 of 38,4 of 4,0 of 0
7,18c67631b76c18e5,Angela Hill,Ashley Yoder,Angela Hill,False,Women's Strawweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,0,77 of 135,57%,97 of 165,1 of 3,33%,0,0,3:52,26 of 63,35 of 54,16 of 18,47 of 98,29 of 33,1 of 4,0,34 of 116,29%,53 of 143,2 of 6,33%,0,0,2:39,17 of 85,11 of 21,6 of 10,34 of 115,0 of 1,0 of 0
8,bb7ce8a6ba7f7cc5,Charles Jourdain,Marcelo Rojo,Charles Jourdain,False,Featherweight, KO/TKO ,3,4:31,3 Rnd (5-5-5),Mark Smith,2,106 of 220,48%,128 of 248,0 of 1,0%,0,0,2:57,68 of 167,21 of 35,17 of 18,73 of 163,14 of 18,19 of 39,0,74 of 204,36%,80 of 211,1 of 2,50%,0,0,0:28,25 of 146,22 of 29,27 of 29,63 of 187,11 of 17,0 of 0
9,03bdbf2d18f3025d,Rani Yahya,Ray Rodriguez,Rani Yahya,False,Bantamweight, Submission ,2,3:09,3 Rnd (5-5-5),Herb Dean,0,8 of 13,61%,42 of 65,2 of 4,50%,1,0,7:00,0 of 3,1 of 2,7 of 8,8 of 13,0 of 0,0 of 0,0,3 of 18,16%,15 of 35,0 of 0,---,0,0,0:00,2 of 16,1 of 2,0 of 0,3 of 18,0 of 0,0 of 0
10,a6828a6dfb21d33c,Nasrat Haqparast,Rafa Garcia,Nasrat Haqparast,False,Lightweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,0,99 of 217,45%,99 of 218,0 of 2,0%,0,0,0:00,60 of 170,38 of 45,1 of 2,99 of 217,0 of 0,0 of 0,0,52 of 217,23%,54 of 219,0 of 3,0%,0,0,0:21,32 of 186,15 of 24,5 of 7,48 of 211,4 of 6,0 of 0
11,e8adfbbe0053c321,Cortney Casey,JJ Aldrich,JJ Aldrich,False,Women's Flyweight, Decision - Split ,3,5:00,3 Rnd (5-5-5),Mark Smith,0,55 of 131,41%,121 of 202,0 of 1,0%,0,0,0:02,35 of 107,9 of 12,11 of 12,45 of 114,10 of 17,0 of 0,0,45 of 80,56%,58 of 99,4 of 7,57%,0,0,5:44,41 of 74,4 of 6,0 of 0,36 of 64,4 of 7,5 of 9
12,8a7b0cd5ad9ca4fe,Gloria de Paula,Jinh Yu Frey,Jinh Yu Frey,False,Women's Strawweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,0,31 of 63,49%,51 of 95,0 of 0,---,0,0,0:05,18 of 48,7 of 9,6 of 6,27 of 59,4 of 4,0 of 0,0,24 of 79,30%,50 of 125,2 of 3,66%,2,0,9:33,10 of 62,3 of 5,11 of 12,17 of 70,1 of 1,6 of 8
13,d0ebb0551377a1c1,Matthew Semelsberger,Jason Witt,Matthew Semelsberger,False,Welterweight, KO/TKO ,1,0:16,3 Rnd (5-5-5),Chris Tognoni,1,3 of 5,60%,3 of 5,0 of 0,---,0,0,0:02,2 of 4,0 of 0,1 of 1,2 of 2,0 of 0,1 of 3,0,4 of 4,100%,4 of 4,0 of 0,---,0,0,0:00,2 of 2,0 of 0,2 of 2,4 of 4,0 of 0,0 of 0
14,7de9867b7cc2b1b1,Jan Blachowicz,Israel Adesanya,Jan Blachowicz,True,UFC Light Heavyweight Title, Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,0,107 of 193,55%,184 of 276,3 of 5,60%,0,0,7:06,67 of 146,29 of 33,11 of 14,85 of 169,6 of 6,16 of 18,0,78 of 161,48%,99 of 182,0 of 0,---,0,0,0:01,32 of 102,17 of 23,29 of 36,77 of 158,0 of 1,1 of 2
15,fd92fe0c494d0959,Amanda Nunes,Megan Anderson,Amanda Nunes,True,UFC Women's Featherweight Title, Submission ,1,2:03,5 Rnd (5-5-5-5-5),Jason Herzog,0,18 of 25,72%,19 of 26,0 of 0,---,2,0,0:42,15 of 22,0 of 0,3 of 3,10 of 16,0 of 0,8 of 9,0,2 of 5,40%,2 of 5,0 of 1,0%,0,0,0:00,0 of 3,1 of 1,1 of 1,2 of 5,0 of 0,0 of 0
16,15c9cb5f9320c555,Petr Yan,Aljamain Sterling,Aljamain Sterling,True,UFC Bantamweight Title, DQ ,4,4:29,5 Rnd (5-5-5-5-5),Mark Smith,1,86 of 137,62%,103 of 157,7 of 7,100%,0,0,4:12,48 of 96,21 of 24,17 of 17,64 of 106,12 of 18,10 of 13,0,97 of 230,42%,119 of 260,1 of 17,5%,0,1,3:25,40 of 154,43 of 60,14 of 16,79 of 207,13 of 14,5 of 9
17,c06d7bb29bc24d00,Islam Makhachev,Drew Dober,Islam Makhachev,False,Lightweight, Submission ,3,1:37,3 Rnd (5-5-5),Chris Tognoni,0,15 of 25,60%,102 of 119,3 of 4,75%,2,0,9:26,12 of 22,2 of 2,1 of 1,5 of 14,1 of 1,9 of 10,0,10 of 20,50%,14 of 24,0 of 0,---,0,0,0:12,5 of 15,3 of 3,2 of 2,6 of 14,1 of 1,3 of 5
18,04a788abbbd1f256,Thiago Santos,Aleksandar Rakic,Aleksandar Rakic,False,Light Heavyweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,0,49 of 97,50%,61 of 109,0 of 1,0%,0,0,0:00,10 of 41,23 of 33,16 of 23,35 of 82,14 of 15,0 of 0,0,36 of 89,40%,50 of 103,0 of 2,0%,0,0,2:32,8 of 47,13 of 16,15 of 26,29 of 82,7 of 7,0 of 0
19,f4363f1317b47213,Dominick Cruz,Casey Kenney,Dominick Cruz,False,Bantamweight, Decision - Split ,3,5:00,3 Rnd (5-5-5),Jason Herzog,0,89 of 202,44%,115 of 229,2 of 9,22%,0,0,2:07,51 of 151,24 of 35,14 of 16,85 of 197,4 of 4,0 of 1,0,74 of 193,38%,74 of 193,0 of 2,0%,0,0,0:26,41 of 148,10 of 19,23 of 26,72 of 191,2 of 2,0 of 0
20,5980ab31e4718a83,Song Yadong,Kyler Phillips,Kyler Phillips,False,Bantamweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mark Smith,0,67 of 161,41%,89 of 189,0 of 0,---,0,1,1:06,39 of 120,20 of 32,8 of 9,67 of 158,0 of 1,0 of 2,0,59 of 142,41%,69 of 152,3 of 5,60%,0,0,1:36,38 of 112,16 of 23,5 of 7,54 of 137,2 of 2,3 of 3
21,ae5d14a9fc1ad19c,Joseph Benavidez,Askar Askarov,Askar Askarov,False,Flyweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,0,46 of 114,40%,61 of 130,0 of 0,---,0,0,0:00,13 of 57,21 of 41,12 of 16,41 of 108,4 of 5,1 of 1,0,58 of 88,65%,71 of 107,5 of 6,83%,0,0,5:00,39 of 65,14 of 18,5 of 5,50 of 77,4 of 5,4 of 6
22,873306ad79b62f5e,Rogerio Bontorin,Kai Kara-France,Kai Kara-France,False,Flyweight, KO/TKO ,1,4:55,3 Rnd (5-5-5),Herb Dean,0,6 of 17,35%,27 of 43,1 of 1,100%,2,0,3:15,5 of 16,1 of 1,0 of 0,5 of 16,0 of 0,1 of 1,1,13 of 22,59%,21 of 32,0 of 0,---,0,0,0:01,8 of 17,2 of 2,3 of 3,11 of 20,2 of 2,0 of 0
23,2704d31de2c2f43b,Tim Elliott,Jordan Espinosa,Tim Elliott,False,Flyweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mark Smith,0,25 of 44,56%,91 of 120,4 of 7,57%,0,0,13:19,14 of 27,10 of 14,1 of 3,4 of 17,6 of 9,15 of 18,0,13 of 25,52%,22 of 35,0 of 0,---,0,0,0:00,7 of 18,4 of 4,2 of 3,6 of 15,4 of 5,3 of 5
24,d170f6580e1c244f,Kennedy Nzechukwu,Carlos Ulberg,Kennedy Nzechukwu,False,Light Heavyweight, KO/TKO ,2,3:19,3 Rnd (5-5-5),Herb Dean,1,82 of 148,55%,84 of 150,0 of 1,0%,0,0,0:05,81 of 144,1 of 4,0 of 0,72 of 132,3 of 8,7 of 8,0,146 of 227,64%,146 of 227,0 of 0,---,0,0,0:05,101 of 175,31 of 37,14 of 15,132 of 210,14 of 17,0 of 0
25,7ad09f889d2cdb6f,Sean Brady,Jake Matthews,Sean Brady,False,Welterweight, Submission ,3,3:28,3 Rnd (5-5-5),Chris Tognoni,0,37 of 68,54%,133 of 187,1 of 1,100%,1,1,8:08,23 of 52,1 of 1,13 of 15,21 of 49,0 of 0,16 of 19,0,21 of 84,25%,32 of 95,0 of 0,---,0,0,0:04,17 of 76,3 of 7,1 of 1,19 of 82,0 of 0,2 of 2
26,50ef636148fa6fac,Livinha Souza,Amanda Lemos,Amanda Lemos,False,Women's Strawweight, KO/TKO ,1,3:39,3 Rnd (5-5-5),Jason Herzog,0,1 of 7,14%,1 of 7,0 of 0,---,0,0,0:00,0 of 4,0 of 1,1 of 2,1 of 7,0 of 0,0 of 0,2,29 of 46,63%,30 of 47,0 of 0,---,0,0,1:13,22 of 37,3 of 5,4 of 4,12 of 22,0 of 0,17 of 24
27,e2abba69c3371618,Uros Medic,Aalon Cruz,Uros Medic,False,Lightweight, KO/TKO ,1,1:40,3 Rnd (5-5-5),Mark Smith,1,45 of 63,71%,55 of 74,0 of 0,---,0,0,0:56,43 of 61,1 of 1,1 of 1,7 of 8,3 of 3,35 of 52,0,0 of 3,0%,0 of 3,0 of 2,0%,0,0,0:11,0 of 2,0 of 1,0 of 0,0 of 3,0 of 0,0 of 0
28,c096342c57a6f2c4,Mario Bautista,Trevin Jones,Trevin Jones,False,Bantamweight, KO/TKO ,2,0:47,3 Rnd (5-5-5),Chris Tognoni,0,21 of 42,50%,43 of 64,0 of 0,---,0,0,0:09,11 of 27,6 of 11,4 of 4,16 of 35,5 of 7,0 of 0,1,23 of 30,76%,36 of 44,0 of 3,0%,0,0,1:26,11 of 18,1 of 1,11 of 11,17 of 22,2 of 2,4 of 6
29,4a704dae3091adaf,Jairzinho Rozenstruik,Ciryl Gane,Ciryl Gane,False,Heavyweight, Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,0,42 of 104,40%,49 of 111,0 of 0,---,0,0,0:00,14 of 69,5 of 6,23 of 29,38 of 97,4 of 7,0 of 0,0,102 of 176,57%,128 of 202,2 of 14,14%,0,0,4:29,33 of 83,23 of 32,46 of 61,98 of 172,3 of 3,1 of 1
30,3a4e2dffcdd1c838,Nikita Krylov,Magomed Ankalaev,Magomed Ankalaev,False,Light Heavyweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mark Smith,0,47 of 120,39%,58 of 132,1 of 6,16%,0,0,1:44,18 of 78,22 of 34,7 of 8,45 of 116,2 of 4,0 of 0,0,43 of 92,46%,89 of 143,3 of 9,33%,0,0,5:59,37 of 83,4 of 7,2 of 2,29 of 76,2 of 2,12 of 14
