,id,fighter_name,total_wins,total_losses,total_draws,total_nc,height,weight,reach,stance,dob,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,td_acc,sub_avg
1,003d82fa384ca1d0,Aalon Cruz,8,4,0,0,"6'0""",145,"78""",Switch,"Sep,20,1989",7.58,39%,8.88,58%,0.00,0%,0%,0%,0.0
2,cf1a88371c8cb690,Aaron Brink,26,26,0,2,"6'3""",205,--,Orthodox,"Nov,12,1974",3.49,42%,5.71,57%,0.00,0%,0%,0%,0.0
3,34c2b3656f88f7ef,Aaron Phillips,12,4,0,0,"5'9""",135,"71""",Southpaw,"Aug,05,1989",1.65,56%,3.44,39%,0.00,0%,44%,0%,0.4
4,f2c8ebbeafd45f2b,Aaron Riley,30,14,1,0,"5'8""",155,"69""",Southpaw,"Dec,09,1980",3.45,34%,3.78,61%,1.18,34%,60%,34%,0.1
5,11f8860028b68fcf,Aaron Rosa,18,6,0,0,"6'4""",205,"77""",Orthodox,"May,28,1983",4.03,47%,4.41,45%,0.36,33%,85%,33%,0.4
6,d5f820c11a121050,Aaron Simpson,12,5,0,0,"6'0""",170,"73""",Orthodox,"Jul,20,1974",3.60,52%,2.53,56%,3.78,34%,83%,34%,0.5
7,eae431e70064e046,Abdul Razak Alhassan,10,3,0,0,"5'10""",170,"73""",Orthodox,"Aug,11,1985",4.54,48%,5.11,53%,0.72,28%,42%,28%,0.0
8,37e03538c960bac6,Abdul-Kerim Edilov,17,4,0,0,"6'2""",205,--,Orthodox,"Nov,25,1991",10.22,61%,0.13,92%,3.98,100%,0%,100%,2.0
9,e14b5aa06eea9653,Abel Trujillo,15,8,0,1,"5'8""",155,"70""",Orthodox,"Sep,18,1983",2.65,41%,2.31,59%,2.18,45%,40%,45%,0.4
10,46d0a888d87d91ac,Abu Azaitar,14,2,1,1,"5'9""",185,"76""",Orthodox,"Mar,10,1986",3.20,37%,1.27,57%,1.00,100%,25%,100%,0.0
11,029e1293e609fd74,Abubakar Nurmagomedov,15,3,1,0,"5'11""",170,"72""",Orthodox,"Nov,13,1989",1.41,44%,0.71,81%,5.29,100%,0%,100%,0.0
12,72ffecf712673af1,Adam Milstead,8,4,0,0,"6'3""",205,"76""",Orthodox,"Jul,03,1987",3.85,46%,4.79,43%,0.00,0%,64%,0%,0.0
13,efa1f6b42c86793c,Adam Wieczorek,10,2,0,0,"6'5""",250,"81""",Orthodox,"Feb,05,1992",1.68,38%,1.87,48%,0.41,33%,58%,33%,0.4
14,0a95c474e61a6c44,Adam Yandiev,9,1,0,0,"5'9""",185,"74""",Orthodox,"Aug,07,1988",0.18,8%,6.14,36%,0.00,0%,25%,0%,0.0
15,1e327b281ef6a745,Adlan Amagov,14,2,1,0,"6'2""",170,"76""",Orthodox,"Oct,30,1986",3.29,47%,0.82,78%,5.84,56%,100%,56%,0.0
16,0232cabbc30a2372,Adrian Yanez,12,3,0,0,"5'7""",135,"70""",Orthodox,"Nov,29,1993",7.02,54%,2.63,57%,0.00,0%,100%,0%,0.0
17,7dcf06c1967801c1,Adriano Martins,28,9,0,0,"5'10""",155,"72""",Southpaw,"Dec,16,1982",1.80,38%,2.14,65%,0.83,80%,81%,80%,0.4
