,fighter_name,id
1,Leon Edwards,f1fac969a1d70b08
2,Belal Muhammad,b1b0729d27936f2f
3,Misha Cirkunov,67f272324a030d00
4,Ryan Spann,a67f5afa8d6a1b80
5,Dan Ige,82a5152216251682
6,Gavin Tucker,da816417a579a0bd
7,Jonathan Martinez,f2477cf43c4975cc
8,Davey Grant,113df4fde64735c6
9,Manel Kape,5d1b7e3dd9e11074
10,Matheus Nicolau,1a31ef98efce7a79
11,Eryk Anders,cad24459b28592ca
12,Darren Stewart,a17ad5a5048e8c3f
13,Angela Hill,f0feeb2192937424
14,Ashley Yoder,b4c6c904a9ffc5e8
15,Charles Jourdain,f1d64ae34e088832
16,Marcelo Rojo,2804ce8dadab5770
17,Rani Yahya,94527830000ab715
18,Ray Rodriguez,90e0985df05e51bc
19,Nasrat Haqparast,b7b84ccd221be298
20,Rafa Garcia,e132d47bd9efbbe0
21,Cortney Casey,5f179af5fffeb9f6
22,JJ Aldrich,6fd953151d981979
23,Gloria de Paula,5dd180c8b3196786
24,Jinh Yu Frey,d05cb1e8d1b885d8
25,Matthew Semelsberger,4aa58269d0664b5b
26,Jason Witt,5f3805dda9661cba
27,Jan Blachowicz,99df7d0a2a08a8a8
28,Israel Adesanya,1338e2c7480bdf9e
29,Amanda Nunes,80fa8218c99f9c58
30,Megan Anderson,a0e75f4a13eb73f1
31,Petr Yan,d661ce4da776fc20
32,Aljamain Sterling,cb696ebfb6598724
33,Islam Makhachev,275aca31f61ba28c
34,Drew Dober,519e4fe37ce9ff75
35,Thiago Santos,dea070ed4a2a8281
36,Aleksandar Rakic,333b9e5c723ac873
37,Dominick Cruz,10f3ba6cd2f44a97
38,Casey Kenney,e7bba7ce4d6c7b07
39,Song Yadong,efb96bf3e9ada36f
40,Kyler Phillips,60425d07ef4b91a7
41,Joseph Benavidez,80eacd4da0617c57
42,Askar Askarov,b1d19449397541dc
43,Rogerio Bontorin,07a2bdaa0afdd831
44,Kai Kara-France,853eb0dd5c0e2149
45,Tim Elliott,c96d9178c9ed9e62
46,Jordan Espinosa,215a70f073a7b726
47,Kennedy Nzechukwu,8667caa0451d245b
48,Carlos Ulberg,9014c02eff8b3d62
49,Sean Brady,45f7cb591c3ab00b
50,Jake Matthews,a845f0735bc67405
51,Livinha Souza,dab8cfbb6b1db10a
52,Amanda Lemos,3df5493bb279226f
53,Uros Medic,681399317dbf4701
54,Aalon Cruz,003d82fa384ca1d0
55,Mario Bautista,bc711b6dd95c1af6
56,Trevin Jones,ec23c1be628d8057
57,Jairzinho Rozenstruik,2cd428e9606856fd
58,Ciryl Gane,787bb1f087ccff8a
59,Nikita Krylov,1091d4d957141094
60,Magomed Ankalaev,d802174b0c0c1f4e
61,Montana De La Rosa,80d8aed0ca9b00f3
62,Mayra Bueno Silva,cc8c623cca88f54f
63,Pedro Munhoz,6bd02119599741a4
64,Jimmie Rivera,9c907996820d2d69
65,Alex Caceres,7aa3d6964eff4877
66,Kevin Croom,35b3772629e27a49
67,Alexander Hernandez,262a7d06203657e6
68,Thiago Moises,d945aae53e3e54e6
69,Alexis Davis,4c2d90e335e6df19
70,Sabina Mazo,70d2329a92864fdb
71,Vince Cachero,ed2a8cc402173781
72,Ronnie Lawrence,e7e01e266a9d4342
73,Dustin Jacoby,e4277e87a789d687
74,Maxim Grishin,950d0ef5c17157c5
75,Curtis Blaydes,fa6796c55d6c5440
76,Derrick Lewis,d3df1add9d9a7efb
77,Ketlen Vieira,b9706f80d005036c
78,Yana Kunitskaya,3143bf892608139a
79,Charles Rosa,40093d1d2d78394e
80,Darrick Minner,34e516ab361afb1c
81,Aleksei Oleinik,98c23cb6da5b3352
82,Chris Daukaus,d0aaedcf7ccd0b45
83,Phil Hawes,547afe1017e72dbe
84,Nassourdine Imavov,881bf86d4cba8578
85,Andrei Arlovski,3738e68d2261e60f
86,Tom Aspinall,399afbabc02376b5
87,Jared Gordon,7026eca45f65377b
88,Danny Chavez,0de720c0f1d4ab9c
89,Eddie Wineland,fc9a9559a05f2704
90,John Castaneda,5fa2974cbd18e05c
91,Nate Landwehr,583ee11abddfc581
92,Julian Erosa,902ec2cc48c8ae8a
93,Shana Dobson,122ac9b816d8b71c
94,Casey O'Neill,04835018f90b118c
95,Aiemann Zahabi,24656ef4d605c96f
96,Drako Rodriguez,dc3b9cf7641b7ab6
97,Serghei Spivac,e2f6b2769aaedd6c
98,Jared Vanderaa,2b68d9f125d07b42
99,Kamaru Usman,f1b2aa7853d1ed6e
100,Gilbert Burns,23024fdfc966410a
101,Maycee Barber,6a740daf1b279661
102,Alexa Grasso,e8b731feff72294b
103,Kelvin Gastelum,8c0580d4fff106c1
104,Ian Heinisch,2e585c701f72fe55
105,Ricky Simon,5987b2458f4b5290
106,Brian Kelleher,7be14eaed4c74856
107,Maki Pitolo,c549573c0df4d676
108,Julian Marquez,d0e1b42d41dab603
109,Rodolfo Vieira,260e9e0d4954aea6
110,Anthony Hernandez,093e1f5bb73850be
111,Belal Muhammad,b1b0729d27936f2f
112,Dhiego Lima,e9213f53ddeca978
113,Polyana Viana,9673a497a9da119a
114,Mallory Martin,19b7738321cfae42
115,Andre Ewell,5f6f049d54728e88
116,Chris Gutierrez,45f0cc9d18f35137
117,Gabe Green,5eb50529a8418b77
118,Philip Rowe,8e382b585a92affe
119,Alistair Overeem,b4ad3a06ee4d660c
120,Alexander Volkov,279566840aa55bf2
121,Cory Sandhagen,65f09bacd3957381
122,Frankie Edgar,f2688492b9a525a3
123,Michael Johnson,511e82663651438d
124,Clay Guida,c47df9303d318c67
125,Alexandre Pantoja,a0f0004aadf10b71
126,Manel Kape,5d1b7e3dd9e11074
127,Diego Ferreira,f53d4f21d1b5f2dc
128,Beneil Dariush,08af939f41b5a57b
129,Mike Rodriguez,18b602842a24f7c5
130,Danilo Marques,687c15b2eddfaa63
131,Devonte Smith,207773daeb4afa7b
132,Justin Jaynes,304a21d0595e1a08
133,Karol Rosa,351c4ec637380ad5
134,Joselyne Edwards,f9ab66e67240db7b
135,Molly McCann,51018a31ddf31eb2
136,Lara Procopio,e99821959a840bb8
137,SeungWoo Choi,a68575214ecad140
138,Youssef Zalal,52c2ae6d2f2d2613
139,Timur Valiev,45e738622ea2c02c
140,Martin Day,ea3dcc417c322064
141,Ode Osbourne,6d68c1afe954f121
142,Jerome Rivera,c9587d81e1d33925
143,Dustin Poirier,029eaff01e6bb8f0
144,Conor McGregor,f4c49976c75c5ab2
145,Dan Hooker,193b9d1858bc4df3
146,Michael Chandler,4b93a88f3b1de35b
147,Jessica Eye,f72465a784c1b084
148,Joanne Calderwood,12f91bfa8f1f723b
149,Andrew Sanchez,fccf811c1e8b01c7
150,Makhmud Muradov,ea7e5bc78d9de658
151,Marina Rodriguez,cd2c4d30c6e13b47
152,Amanda Ribas,beecb672a279223e
153,Arman Tsarukyan,eae48ff31db420c2
154,Matt Frevola,dccb63727f2f5f74
155,Brad Tavares,0c6d9ea8306c029e
156,Antonio Carlos Junior,52e76bb4b3e852f3
157,Julianna Pena,3253b16d38ae087d
158,Sara McMann,7be74a12d7352df2
159,Khalil Rountree Jr.,749f572d1d3161fb
160,Marcin Prachnio,6370c1c1e12723d5
161,Nik Lentz,6fb1ba67bef41b37
162,Movsar Evloev,76e2870ffafbe38f
163,Amir Albazi,6d35bf94f7d30241
164,Zhalgas Zhumagulov,55fa6ce3e522c8bb
165,Michael Chiesa,c58f51dedb310998
166,Neil Magny,84b3e7d38f2d2ec5
167,Warlley Alves,d317a5e2b3f88c5f
168,Mounir Lazzez,49ee5024966efc0d
169,Ike Villanueva,f9d0cae37dabfafc
170,Vinicius Moreira,acb36c908d415c4a
171,Roxanne Modafferi,4498b382c65a7faa
172,Viviane Araujo,36541f1e6c5d4955
173,Matt Schnell,67c1d46f4ed16f9e
174,Tyson Nam,6e00cfffd54653c4
175,Lerone Murphy,396fe87b84ac2e1c
176,Douglas Silva de Andrade,3a314d9fa7c6825d
177,Omari Akhmedov,16690d100f995f8f
178,Tom Breese,1588b787bda7b540
179,Ricky Simon,5987b2458f4b5290
180,Gaetano Pirrello,8765559b6a29a421
181,Su Mudaerji,3cf18e01cb6cbde3
182,Zarrukh Adashev,79cb2a690b9ba5e8
183,Dalcha Lungiambula,ce632027bf2a871b
184,Markus Perez,2ac4628c08ec5125
185,Francisco Figueiredo,cdadae5363b66eef
186,Jerome Rivera,c9587d81e1d33925
